INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_2_2', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_3', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_4', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_5', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_6', directory=False, extension='py', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='users', directory=False, extension='json', parents_directory='seminar_14')
INFO - 2024-03-13 14:14:28,393 в строке 38 : Folder_object(name='v', directory=True, extension='no ext', parents_directory='.pytest_cache')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='', directory=False, extension='gitignore', parents_directory='.pytest_cache')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='CACHEDIR', directory=False, extension='TAG', parents_directory='.pytest_cache')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='README', directory=False, extension='md', parents_directory='.pytest_cache')
INFO - 2024-03-13 14:14:28,393 в строке 38 : Folder_object(name='cache', directory=True, extension='no ext', parents_directory='v')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='lastfailed', directory=False, extension='no ext', parents_directory='cache')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='nodeids', directory=False, extension='no ext', parents_directory='cache')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='stepwise', directory=False, extension='no ext', parents_directory='cache')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='func', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_2', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_2_1', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_2_2', directory=False, extension='no ext', parents_directory='__pycache__')
INFO - 2024-03-13 14:14:28,393 в строке 40 : Folder_object(name='task_3', directory=False, extension='no ext', parents_directory='__pycache__')
